Keyword,Song title,Artist,Release date,Page views,Lyrics
Ginobili,Get the Strap,Rucci,2019-08-16,21881,"shit like Kobe, lil' bitch
With a long nose like Ginobili
I'm known to get rich and bust down"
Ginobili,Dancin’,Tory Lanez,2017-01-01,22434,"Out in V Live still talkin' like she know me
New Toronto nigga that finesse like Ginobili
Dancin', dancin'
Touchin"
Ginobili,Everyday,Dave East,2019-08-02,19551,"sellin' white boy like Nowitzki
The cars is foreign like Ginobili, shots burn your chest like whiskey
This a lifestyle"
Ginobili,Drizzy Draco,Maxo Kream,2019-07-19,25198,"that nine just like I'm Rondo, euro-steppin' like Ginobili
Lil' niggas ran off with ya dodie and you"
Ginobili,Charlie Clips vs. Hollow Da Don,URLtv,2015-05-09,24171,"homie's Charger
Got twenty, take your top off, that Ginobili spark ya
My other gun, Kawhi Leonard, this other"
Ginobili,Don’t Need Em,Kap G,2016-03-07,20422,"the 40
With the big nose on the front like Ginobili
I got a couple models look like Naomi
I"
Ginobili,Charlie 2 (Remix),ShooterGang Kony,2019-07-17,18981,"hit, it was some bodies up in it
Over Kony Ginobili, I fold your brody
Piss on your granny, kill"
Ginobili,Top Shotta (Original),Pop Smoke,2019-07-04,16631,"knuckle up
This .30 that's on me, turn to Ginobili, feel like that boy, he tryna run
Y'all"
Ginobili,However Do You Want It,The Game,2016-10-06,17108,"airport, nigga the Rams back
Flyin' Spur, top missin' like Ginobili
Grill all gold, that's my motherfuckin' whoadie
Love"
Ginobili,Ain’t Gone Do It,Nicki Minaj,2016-12-06,15838,"you know me?
Spur of the moment, I ball like Ginobili
ESPN, photoshootin' with Kobe
You Photoshop bitches be needin"
Ginobili,Murder Rate (Freestyle)*,Juice WRLD,,18271,"like I'm Kobe
I'm in the 4th like Ginóbili
You know what you told me
They told me"
Ginobili,Fresh Prince,Light,2018-09-28,13988,"σαν να 'τανε zombie
Tim Duncan, Tony Parker και Manu Ginobili
Δεν έχω ντίβες στην ομάδα, σκοράρουμε όλο
Πόσοι είναι"
