Keyword,Song title,Artist,Release date,Page views,Lyrics
Ginobili,Quantic Blue,Supreme Regime,,NA,"it to Kobe, on some Spur of the moment shit
Ginobili in '03
Get it poppin', get it poppin'
Baby"
Ginobili,Watchin’ Closely,Bill $aber,2017-01-17,NA,"be watchin' closely
Actin' like they know me
Lefty like Ginobili
Bitches send emojis
Rollin blunts and smokin'
I got"
Ginobili,Left Hand,"KEY!, UnoTheActivist & MadeinTYO",2016-12-19,NA,"feelin' like Kobe
I'm shootin' with my left hand, Ginobili
You think you might know but, you don't"
Ginobili,Walk on Water,Mackned,2017-04-14,NA,"on the right like Kobe, and on the left like Ginobili
I'm cutting up like a pair of some"
Ginobili,Down Comes the Spaceman,Supa Bwe,2017-11-20,NA,"trash yellin' Kobe
If you go Curry, I'ma go Ginobili
Tear drops float over me, hope my ex get"
Ginobili,Retire Me A Stripper,Pretty Tony (Rapper),,NA,"but I bet your bitch know me
Balling like Manu Ginobili
Flexing like I do aerobics
Need them hoes call"
Ginobili,Hairline Trigger (Freestyle),Juice WRLD,,NA,"yeah
Super clutch I'm in the fourth just like Ginóbili, yeah
Time is money so I went and got"
Ginobili,2012-2013 Roster,San Antonio Spurs,,NA,"Tony Parker
Danny Green
Kawhi Leonard
Tiago Splitter
Tim Duncan
Manu Ginobili
Boris Diaw
Matt Bonner
Gary Neal
Patty Mills"
Ginobili,​soft 🔫,David Shawty,2017-02-18,NA,"ball like Ghandi, yeah I ball like Kobe
Money like Ginobili, I'm flexing on these hoes, see
She be"
Ginobili,Ligesom Mig,Mads Christian,2020-09-25,NA,"So screaming R.I.P Kobe
Presidential, my Rollie
I'm ballin’ on like Ginóbili
That's why they hating"
Ginobili,RIRI,Cochise,2019-07-10,NA,"bitch, I feel like Kobe
Yeah, left hand, ballin' like Ginobili
I be runnin' with my niggas, it a [?]
All"
Ginobili,Bentleys,Lil Pump,,NA,"I got all bitches on me, bust like I'm Ginobili (Yeah)
Yeah, you know I'm swervin', come on"
Ginobili,I’m Cold,Black Cobain,,NA,"me
Man who? Y'all nosy, y'all are so Ginobili
Ice cold, ice cold, the polar bears know me"
Ginobili,Run Into You Girl,Young Thug,,NA,"It feel so right (So right)
I'm ballin' like Ginobili & Kobe
Ballin' like I'm ballin' with my trophy"
Ginobili,Experimentan La Perse,Daddy Yankee,2014-11-11,NA,"el pirata de Somalia
Jodio trilly, tengo más anillos que Ginóbili
Si fueran pasto los quemos, me dicen Cartel Philly"
Ginobili,War Ready,24Heavy & Quavo,2020-12-18,NA,"Kobe, he got fifteen to the nail
Left hand like Ginóbili, in the paint, Huncho Javale
Brought a strap to"
Ginobili,Sideways,Chief Keef,2012-05-28,NA,"Pull up on you flexin' (Skrrt, skrrt)
Slow, you like Ginobili (Flex)
I don't need Shaq (Nah)
I think"
Ginobili,Hustler,Eff Gee,2015-10-23,NA,"Pays Basque
J'immobilise devant la NBA, 3 points de Ginobili
J'pète un [?]
Mes placements dans le 16 prennent"
Ginobili,Set It Off,​SSGKobe,2019-08-02,NA,"241 Glock like I'm Kobe
Shootin' a 3 like Ginóbili
I run in his crib and I'm gunnin"
Ginobili,3 Heartbeats Freestyle,Kool John & Iamsu!,2020-01-10,25550,"that she blow me
Keep a shooter gang like Kony Ginobili
I think I'm Pootie Tang how these bitches"
Ginobili,Whole Thang,Ballout,2020-07-04,NA,"fuckin' trap trophies (Trap trophies)
Rings on my hand like Ginobili (Like Ginobili)
Ballin' like a Spurs, Robert Horry
I"
Ginobili,Sugar Zaddy,Nadia Rose,2020-04-24,NA,"and out, you know me
Love I'm balling like Ginóbili
Get the dough and keep it rolling
Sugar Zaddies"
Ginobili,WWYW / #2900,UnoTheActivist,2015-05-13,NA,"Kobe (Feel like I'm Kobe)
Fuck that, Spurs, nigga, Ginobili (Feel like Ginobli)
I cannot buy me no Rollie"
Ginobili,Goalie,Burna Bandz,2019-08-20,NA,"your mama lonely
I be with killers who score like Ginobili
Need the A.P but first I need the"
Ginobili,Can You Digg It? Intro,QUE.,2014-08-19,NA,"Aye it's the sixth man, I feel like Manu Ginóbili
I put a show on for the fans like"
Ginobili,Bring Out The Hoochies,Almighty Jay,2020-12-15,NA,"called, he got the pints and a OG
Ballin' like Ginóbili, your bitch in the nose bleeds
Parkin' lot pimpin"
Ginobili,Another Flip,Lil Flash,2015-01-01,NA,"And you dont know my top gun, call that shit Ginobili
Im so motherfucking turnt
They dont know what behind"
Ginobili,Har Den,Strøm,2018-10-19,NA,"7 i play-off
Is i maven som Kobe, rutineret Ginóbili
12 sekunder på uret, nu ik' så meget oki"
Ginobili,J.Jones Hood Rich Anthem Freestyle,Jay Jones,,NA,"jus' tryna stay focused
And I grind hard like Kobe
Ginobili can't hold me
I mean unless he really"
Ginobili,Earth Don’t Deserve Me,LOWFi,2018-10-19,NA,"Owen a death in the ring
Yeah, I'm the Ginobili
Matter fact me and Hayelo like Shaq and Kobe"
Ginobili,BRAZY,A$ton Matthews,2017-10-30,NA,"and the OG's
Thats leakin' like a nosebleed, from Ginóbili
With no knees, yoppa walkin' like dope feinds
You"
Ginobili,Warm Up,ShooterGang Kony,2018-05-18,NA,"Ooh, punk rock, bitch, free Deuce Block Jody
Kony motherfuckin' Ginobili
Fuck you niggas talkin' about, nigga, yeah
ShooterGang, nigga"
Ginobili,How It Feels,UnoTheActivist,2015-12-30,NA,"to my woadie
And you know I'm ballin' like Ginobili
And the ass clappin' like she from Magnolia
And"
Ginobili,Ooo wit da Left,Flee,2017-04-17,NA,"Manu Ginóbili euro step (that Margiela)
Ooo, with the left (that designer)
Plug
Ooo, with the left (foreign shit)
Ooo"
Ginobili,Sal Tocado,OldPurp & Yung Beef,2021-04-30,NA,"Tengo mucho aceite, Arabia Saudí
Bitch, I'm ballin' like Ginóbili
Vendiendo blanca, Ginóbili
Le meto gitano, Carambirurí
Le meto"
Ginobili,Bricks,Hoodrich Pablo Juan,2016-01-05,NA,"thousand spent all on the Rollie
My nigga be balling, Ginobili
""Stay down there"", what mama told me
Now DrugRixh"
Ginobili,Creep At Night,Jerome (Rapper),2018-05-04,NA,"owe me
I could pop off at any moment like Ginobili
I got holes on my t-shirt
Boy you"
Ginobili,Paper Terminator,Young Thug,,NA,"on it like a Rollie (oh)
I'll hit that Ginobili (oh)
Rollie Pollie Ollie (oh)
Remind her of the"
Ginobili,TAYLOR vs. TREADMILL,Apple Music,2016-04-01,NA,"tempo like I'm DJ Mustard, woo
I hit that Ginobili with my left hand up like wo--
TAYLOR falls"
Ginobili,Control Me,Young Bull,2018-04-09,NA,"them trophies
I see you hatin' niggas plottin', I keep Ginobili
Why they talkin' like they know me?
These niggas"
Ginobili,Make You Mine,Diggy,,NA,"Baby you got my heart flaming like a Spur no Ginobili
So you should drop your man cause me and"
Ginobili,Winning Season,Red Tips & Rapzilla,2020-10-23,NA,"homie
I ball like a hog in the gym, a Ginóbili
The Lord is my witness, shout out to Lil"
Ginobili,I’ll Be There,DJ E Feezy,2015-09-09,NA,"ball like I'm Kobe
Twenty on the Rollie nigga Ginobili
These niggas steady acting like they know me
Ya"
Ginobili,Kobe,KTS Von,2015-06-23,NA,"Bitch, I'm smokin' Kobe
Cracking Treys like Ginóbili
Bitch, I'm smokin' Kobe
Ask me what I'm smoking"
Ginobili,One Take (OG),Juice WRLD,,NA,"kobe (yuh)
Super clutch, im in the forth, just like Ginóbili (yuh)
Time is money, so i went and got"
Ginobili,Out Da Seal,Lil Duke,2019-07-12,NA,"change? (How? How?)
Diamonds, they wet like it's rain
Ginobili, dub for the chain
12 get behind me, I"
Ginobili,2013 NBA Finals Game 1,NBA (Archives),,NA,"0 | 0 | 0 | 0 | 0 | 0 | 0 | -6 | 0
Manu Ginobili, SG - | 30 | 4-11 | 2-5 | 3-4 | 0"
Ginobili,NBA All-Time Mock Draft Teams,Sports Genius,,NA,"PF- Hakeem Olajuwon
C- Bill Walton
Bench:
Karl Malone
Manu Ginobili
Wes Unseld
Jo Jo White
Dolph Schayes
Team: The"
Ginobili,10k James,10KDunkin,2018-07-23,NA,"nickname Kobe (Yeah)
Stay wit' the Glock, I shoot like Ginóbili (Stole it)
Ran up ten bands and I did"
Ginobili,Zack N Cody,DaBoii,2019-12-07,NA,"me
Off the bench and still put up dub like Ginobili
Bitch I'm still that nigga, I'm gon"
Ginobili,Paradise,Stroy,,NA,"OG
Rappers packing that heat till my crew shoot like Ginobili
That's not a diss to Miami, bitch this"
Ginobili,Pussy Ass N***a’s,Crzy Cmmaz,2019-09-05,NA,"tell me
Ballin' like a nigga Kobe
Left hand like Ginobili
I ain't doin' no Ginobili
Haunt 'round leave"
Ginobili,El Mercado,Troubless,2020-04-20,NA,"break your coxis
And rest in peace Kobe
Triples de Ginobili
Hoy mas que nunca, pequeño Aghori
My black men"
Ginobili,Real Spit Freestyle,Sway (USA),,NA,"ball hard KOBE!
Everyday I go in, Number 20 like Ginobili
Rhymin', straight through the hood because they know me"
Ginobili,Slide,Luh Soldier,2021-03-15,NA,"I got some bread for it
I shoot the choppa, Ginobili
Cut ya water off, yeah ya owe me (Hey"
Ginobili,Shotta Flow (Juice WRLD Remix),NLE Choppa,,NA,"If he wanna run up on me, shoot him like Ginobili
And I'm with the shit, lil' homie, yeah"
Ginobili,My 20's,MPR Tito,2018-04-14,NA,"We Rolling
OG in the gang like my name is Ginobili
Shout out to Big Reese and I do this"
Ginobili,Killa,Bodega Bamz,2015-04-14,NA,"juevo frito with mangu, finito
My drive's like Manu Ginóbili
If there's a problem
I tell 'em get"
Ginobili,Feelin’ Myself,Packy,2012-05-31,NA,"t, Packidu, follow me
No crown but I sip the Ginobili, Manu
On the Eddie House, I ain't Bynum"
Ginobili,Silverware (Remix),Moneybagg Yo,2018-01-01,NA,"bitch you better act right
You can get left like Ginobili
Fuck nigga can never expose me
I'm certified"
Ginobili,23,Wxlf,2018-08-04,NA,"if you know me
Left hand for the win like ginobili
I remember growing up they told me
I would"
Ginobili,Parliament,The Colony,2014-11-01,NA,"em, Puffin on stramonium
Y'all are too lax, put Ginobili in
I Bi-Wan with the force, they done"
Ginobili,Silverware (Remix),Moneybagg Yo,2018-01-01,NA,"bitch you better act right
You can get left like Ginobili
Fuck nigga can never expose me
I'm certified"
Ginobili,Like It Like That,​​wifisfuneral,2016-05-27,NA,"Lil' LaFlare just came through flexin'
Boy, I sauce like Ginóbili
Back in '97, Daddy cookin' crack just to off"
Ginobili,2013 NBA Finals Game 6,NBA (Archives),,NA,"2 | 3 | 8 | 2 | 0 | 0 | 1 | +8 | 19
Manu Ginobili, SG    | 35 | 2-5 | 1-3 | 4-6 | 1"
Ginobili,Loyalty,A$AP Twelvyy,2020-04-03,NA,"some Roshes
Hopped in the scene then I left like Ginobili
I could put in someone's head (Yeah)
Zero"
Ginobili,Time,GMEBE Lil Chief Dinero x GMEBE Bandz,2015-10-28,NA,"s what you call a cold scene
I ball like Ginobili I'm choking on OG I feel like a"
Ginobili,Real,KTS Von,2015-06-23,NA,"knew the old me (old)
Crackin' all the treys like Ginóbili (BDK)
Bitch I'm the mo'fuckin' man (let"
Ginobili,Get to It,Johnny Cinco & Hoodrich Pablo Juan,2015-09-01,NA,"treat me like Kobe
In San Antonio, the bricks for Ginobili
Fuck my teachers and whatever they told me
Bitch"
Ginobili,Know Me,BreezePark,2015-04-13,NA,"you really think you ballin' man, you ain't no Ginóbili
Boy I bust a [?], but ya' boy ain't"
Ginobili,Arsonal vs. Brizz Rawsteen,URLtv,2016-11-20,NA,"Lyrically this is Nasir Jones versus Obie Trice
I'm Ginobili nice, what's the .40 price
Cause I retired"
Ginobili,Own the Club,Chevy Woods,2013-10-24,NA,"can't believe
Ball just like I'm Kobe, or Ginobili, Reggie Miller
This ain't [?] this that service get"
Ginobili,One Day,Lijah,2017-01-19,NA,"me
Scoring like I'm Kobe (damn)
Left hand like Ginóbili
All that bullshit is below me
But you fuck"
Ginobili,2014 NBA Finals Preview,Sports Genius,2014-06-03,NA,"a thinking man’s team.
Key Players:
Tony Parker
Manu Ginobili
Danny Green
Kawhi Leonard
Tim Duncan
Boris Diaw
Key"
Ginobili,Hold Out Ya Wrist,Skippa Da Flippa,2015-09-21,NA,"told me to the game that I'm our new Ginobili
I said fuck it I'm a shooter maybe"
Ginobili,Why Not,Lil Jay,,NA,"hooper, Kobe
Pull out with a twenty in the clip, Ginobili
Imma make the mother fuckers pay
If they owe"
Ginobili,Kerosene,Young Thug,,NA,"we some talibandits (Hey)
We score on the bitch like Ginobili, nigga
We score on the bitch like [?]
Roll on"
Ginobili,Trained To Go (Remix),Speaker Knockerz,2018-12-21,NA,"crib, she' cozy, by her lonely
Shooters in the cut, Ginobili, James Posey
You' hittin' that slowly
Yo' fade don"
Ginobili,Fortune,Young Roddy,2016-04-20,NA,"it out together
Like Shaq and Kobe or Duncan or Ginobili
You only get one shot don't miss Robert"
Ginobili,2013 NBA Finals Game 7,NBA (Archives),,NA,"1 | 3 | 1 | 0 | 0 | 1 | 0 | +12 | 8
Manu Ginobili, SG - | 18 | 2-6 | 1-4 | 0-0 | 0"
Ginobili,Estebanz,VOORHEEZY,2017-11-16,NA,"dice
I’m rolling
I’m rolling
I’m balling, Ginobili
I’m living the sweet life like I’m"
Ginobili,Benjamins,Vasco (DEU),2019-11-08,NA,"Pause keine offseason für Champions (nah)
Mach das wie Manu Ginobili nur mit links (ja)
Kauf mir nur paar Peppermints"
Ginobili,Four Quarters,Pacewon & Mr. Green,2008-01-01,NA,"Hakeem
Like you're Kobe, I'm Shaq, you're Ginobili, I'm Duncan
Like we goin for a re"
Ginobili,Realer Than Me,Robin Banks,2020-08-28,NA,"friend a .40
Shooter shoot like Kobe, but hairline on Ginobili
Poppin' all these percies, I hope that I don"
Ginobili,No Hook Pt. 3,Since99 & BasedNas,2019-06-17,NA,"new Shaq and Kobe (Yes)
Shooting shit up, Tony Parker, Ginóbili (Yes)
And you got a foreign but I got"
Ginobili,Shotta Shotta Canyon (Choppa Kart),Acrylo,2019-05-31,NA,"If you wanna run up on me, shoot 'em like Ginobili
And I'm with the shit lil' homie, yeah"
Ginobili,Reckless,Chuki Beats,2020-04-03,NA,"m the GOAT, just like I'm Kobe, shooters like Ginóbili
Niggas coppin' 20s, man we smoke it by the"
Ginobili,Die Lit Inc. (Bonus),​blaccmass,2020-09-09,NA,"Dunkin' on your ho like no B
Bald head like Ginóbili
Piru, watch my nose bleed
That boy dead
Arm"
Ginobili,Ice Box,Money Boy,2020-04-17,NA,"am ballen wie Kobe (Swear to God)
Oder wie Manu Ginóbili
Fick dich, you don't know me
Aye on"
Ginobili,Fuccboination,IFYB Records,,NA,"ve left it how it was, now I gotta go Ginobili
Meaning now I gotta throw it up for my"
Ginobili,Soul Bleed,Lul Bob,2021-09-17,NA,"Ballin' in them streets with that white like I'm Ginobili (Uh, uh)
Still screaming, ""Long live Kobe""
I remember"
Ginobili,Ginobili,Quelly Woo,,NA,"but R.I.P. Kobe
Shoot with the left like Ginobili
I shoot with the left like Ginobili
I was"
Ginobili,Drizzy Draco (A COLORS SHOW),Maxo Kream,2019-07-17,NA,"that nine just like I'm Rondo, euro-steppin' like Ginobili
Lil' niggas ran off with ya daughter and you"
Ginobili,Gregg Popovich Disses Suns Owner Robert Sarver,Gregg Popovich,2014-10-18,NA,"still out 10 more days. The other two, Duncan and Ginobili, are two of the oldest guys in the league"
Ginobili,How You Do That,Murda Mal,2016-11-18,NA,"If he run up I damn near shoot shit like Ginobili n shit
Boy talk to ya mans, Niggas get"
Ginobili,2015 NBA Offseason Tracker,NBA (Archives),2015-07-01,NA,"2yrs/10.5mi) - Spurs
Kawhi Leonard (5yrs/95mi) - Spurs
Manu Ginobili (?/?) - Spurs
Danny Green (4yrs/40mi) - Spurs
David West (1yr"
Ginobili,Show Out,JBan$2Turnt,2017-02-21,NA,"what I'm packin'
I said I'm ballin' like Ginobili or Kobe
Hey, step back cause you don't"
Ginobili,Free Smoke (Remix),Dame D.O.L.L.A.,,NA,"stick on the 40
Ball til' I'm bald like Ginobili
I might get 60 like Kobe
Always be lining"
Ginobili,2013 NBA Finals Game 3,NBA (Archives),,NA,"1 | 2 | 4 | 2 | 0 | 3 | 0 | +9 | 2
Manu Ginobili, SG    | 23 | 3-7 | 0-4 | 1-2 | 0"
Ginobili,Free Me,J. Monty,2021-06-04,NA,"old, time to leave that game alone, put that on Ginóbili
I was blamin Phil Thornton, Jeremy Castro, blamin' Gabby"
Ginobili,"Manu Ginobili, NBA Finals Game 5",Performance of the Day,,NA,"Manu Ginobili - NBA Finals, Game 5
Miami Heat 104 vs. San Antonio Spurs 114
June 16th, 2013
Minutes: 33      Field"
Ginobili,Your Swag Is Old,Smokepurpp,,NA,"Kobe, I’m like Kobe
Only shoot ‘Bout 3
Like Ginóbili
Messed up bitch
You don’t know me
Pull"
Ginobili,Never Believe Me,Bakersteez,2017-10-06,NA,"I'm Omi
I whip that water, wrist game on Ginobili
Crossing over switching lanes like I'm Kobe
I"
Ginobili,Go That Way,Quando Rondo,2021-05-07,NA,"with the gold teeth
Lil' bitch, yes, we bang, no Ginóbili
For a feature, you paying a whole ki'
I"
Ginobili,Pa’ Que Afinen,Toteking,2019-04-05,NA,"de Jordan y Dominic
Tote King a.k.a Manu Ginóbili
""Yo paso del rap"", escucho decir al moderno
Y"
Ginobili,Too Much,Tre Capital,2018-02-28,NA,"uh
Back and forth wit' it
Jim Crow wit' it
Ginóbili in fourth quarter, I'm a cold nigga
I"
Ginobili,Keep Going,Glocc.Dookie,2019-08-17,NA,"t go for it (no way)
I'ma ball like Ginóbili
Fourth quarter, give the ball to me (me)
Let"
Ginobili,NBA (Ballin Hard),Yung Simmie,2015-02-02,NA,"me Smokey
I ball so hard I challenge Kobe
And Ginobili and even Westbrook
Give me three shots and the"
Ginobili,Hiero HQ,Souls of Mischief,2009-12-01,NA,"can go through...
My mic handled like Kanobi gamble like Ginobili
The average night for 'sto D man I'll"
Ginobili,Murder Rate Mixed with Freestyle,Juice WRLD,,NA,"like I'm Kobe
I'm in the fourth like Ginobili
You know what you told me
They told me"
Ginobili,NBA All-Time Mock Draft Pool,Sports Genius,,NA,"Earl Monroe (Guard)
Ben Wallace (Forward)
Derrick Rose (Guard)
Manu Ginobili (Guard)
Dennis Rodman (Forward)
Bill Walton (Center)
Deron Williams"
Ginobili,One Take Freestyle (Bless the Booth),Nyck Caution,2016-05-25,NA,"you know me
Know what I say, know I'm Ginobili
With the left hand yeah a Spur like I"
Ginobili,Cold Shoulder,Yung Mal,2019-08-28,NA,"Quill in a brand new Lotus
Bitch, we ball like Ginobili (Ball)
I be goin' hard, need to give me"
Ginobili,Fuck Bron Bron (complete),Mac Bari,2016-05-01,NA,"be Kobe(Kobe)
And your hair fucked up just like Ginóbili's(Ginóbili)
Fuck Bron Bron(Fuck him)X16
Pull"
Ginobili,Lowkey,Cyberspace,2015-10-11,NA,"the swag running through the whole team
From three like Ginobili, I ball like I'm Kobe
You think that"
Ginobili,Cursed,Yng Hstlr,2019-06-13,NA,"ball out like I am Kobe
Now ball out like Ginobili
Huh, yeah (12x)
Yeah I think I'm cursed"
Ginobili,Ryuko left her shirt!,DJ DAX,2018-08-27,NA,"need you to hold me, shooting scoring, I feel like Ginobili
PE$O, holy moly, feel like broly, count my guacomole"
Ginobili,Thoughts,Prince Emmanuel,2018-04-24,NA,"boofy
Whole lotta groupies feel goofy
Haters they loosin
Like Ginobili, lil nigga I'm shootin
Making the beat then"
Ginobili,Slow Leak,DLee_LTO,2017-04-16,NA,"polies
Twenty up in my pocket I'm ballin like Ginobili
Pay ya dues it's time for rent
Kush"
Ginobili,"FATHER, FORGIVE ME FOR MY SINS",Mehki Raine,2019-09-20,NA,"Kobe, six up in the chamber got me feeling like Ginóbili
I am blind to all the bullshit leave you"
Ginobili,Remember Days,King Rami,2017-10-15,NA,"ballin' like Jordan
Or I feel like Kobe
Shooting like Ginobili
Better put me in the league
You fucking with"
Ginobili,6 AM,Jayified,2020-03-08,NA,"t know me
All of my niggas we ball like Ginóbili
We bringing the pressure
We doing it daily
He"
Ginobili,Rubbin’ Off The Paint (Remix),Diss God,2017-10-19,NA,"I'm balling like I'm Kobe
Long nose like Ginobili (aye)
Cause I'm rubbing off the paint
All"
Ginobili,New Mercedes,Luce Lutu,2016-08-01,NA,"Wilson in the 2-0
Kick it back like judo
GINOBILI! with the euro
Bars sweet no churros
{Bridge}
Man"
Ginobili,Temptations,"Perry Maysun, The Toxic Lifestyle",2020-05-01,NA,"had to turn it up I feel like I’m Ginóbili
How you flexin’ all that gwuap but you still"
Ginobili,All The Way Up (Fly Mix),Prince Dinero,2016-07-21,NA,"chattin' homie
Clip leave a bald spot now his name Ginobili
Cross over with the rock now i'm making"
Ginobili,I’m Upset Freestyle,Jadon Daniels,2018-06-28,NA,"me
I'm tryna stack it tall like I'm Ginobili
And niggas be taking these shots like they Kobe"
Ginobili,Trophies 2016,Money Boy,2016-01-20,NA,"und ich ball' so wie Kobe
Kevin Durant oder Manu Ginóbili
Copp mir Giuseppes als wäre es nichts
Denn Boy"
Ginobili,When Paris Smokes,A.Dd+,,NA,"When it's done, roll a spur, Parker, Duncan and Ginobili
Go in and drop the 40, blow an eigth"
Ginobili,Living Good (Ft. Jong),RubzOfficial,2018-01-16,NA,"Bitch I be ballin' like Kobe
Out of the country, Ginóbili
I'm cashing out with my brodies
Tell her"
Ginobili,Shotta Flow 69,OOFER REEBOKS,2019-10-22,NA,"If you wanna run up on me, shoot 'em like Ginobili
And I'm with the shit, lil' homie, yeah"
Ginobili,2High2Remember [Part 1],Mar90s,2018-03-01,NA,"year I'm Kobe
Shooting with my left hand like Ginóbili
Said you got them bands, I don't believe"
Ginobili,Freestyle (100 Bars),Jay Rock,2006-05-18,NA,"your face all lumpy
Got ballers that shoot straighter than Ginobili
That'll leave you bleeding son, like a ho"
Ginobili,Champion,Boldy James,2020-12-11,NA,"pay no more than Tayshaun
For boxes, no more than Ginobili for them K-9s
Ain't no more state"
Ginobili,Back Against the Wall,Yhung T.O.,2020-11-25,NA,"on me, think I'm cony, I might turn into Ginóbili
And bro just left a nigga dead, he got"
Ginobili,Ain’t Cool,Kankan,2019-08-19,NA,"up codeine
I be shooting shit, nigga, my name's Ginóbili
Hoe said she love me, but she don't"
Ginobili,If X was on Shotta Flow,Shredderp,,NA,"If he wanna run up on me, shoot him like Ginobili
And I'm with the shit, lil' homie, yeah"
Ginobili,Go F.A.R.,Zach Farlow,2017-01-31,NA,"Poly, Rollie with no tags on my sleeve
[?] Kobe and Ginobili if you're comin' for me
Just know that"
Ginobili,Season’s Change,J. Monty,2015-11-13,NA,"pork and beans
But that was way back when Manu Ginobili was overseas
They sellin' death on the screen, I"
Ginobili,The Saurus vs. Math Hoffa,King of the Dot,2018-12-09,NA,"or end the round how Diz' told me
I'm Ginobili, you're a step (Eurostep) away from a clear"
Ginobili,Fuck Corona,StanWill,2020-06-15,NA,"s supposed to be
Thousand dollar shoes, euro stepping like Ginóbili
It's a wrap if I catch him, I"
Ginobili,Corner Store,RondoNumbaNine,2013-10-31,NA,"my name Tony
I'm shooting shit like my name Ginóbili
Squad shit, bitch!
And I'm Numba' Nine from"
Ginobili,2014 NBA Finals Game 3,NBA (Archives),2014-06-10,NA,"0-0 | 1 | 0 | 0 | 0 | 0 | 1 | 3
Manu Ginobili, SG     27 | 4-8 | 1-3 | 2-2 | 3"
Ginobili,Peace Sign Emoji,Ervin Mitchell,2017-07-13,NA,"hold me!
Whoop em wit the left wrist
Like Manu Ginobili
Lambo got me ghost on em
Feel like Danny"
Ginobili,I8,Cook LaFlare,2017-04-17,NA,"trait
Niggas looking for them packs, I got gas like Ginobili
All these plug prices got the streets in a"
Ginobili,Breakfast Freestyle,King Los,2021-05-29,NA,"with no halo, Holler Mano a Mano
I'm Manu Ginóbili euro
Your a zero, a clear no
A outcast"
Ginobili,Feelin Us,Summrs,2018-07-20,NA,"t want no smoke with me
Ballin' like I'm Ginóbili
Ain't no nigga cold as me
And ain"
Ginobili,2015 NBA Free Agent Tracker,NBA (Archives),,NA,"UFA)*
Tim Duncan- Forward (UFA)
Marc Gasol- Center (UFA)
Manu Ginobili- Guard (UFA)
Danny Green- Guard (UFA)
Draymond Green- Forward"
Ginobili,Set It Off,7evin7ins,2020-01-14,NA,"going loko
Crazy
I’m Balling on the court like ginobili
Lay me
They say I’m acting different how"
Ginobili,List of Regrets,Penny47,2017-01-26,NA,wanted to see this spartan prosper like Kobe 5th quarter Ginóbili I had od'ed probably proceeding to the alter
Ginobili,2013 NBA Finals Game 4,NBA (Archives),,NA,"1 | 1 | 1 | 0 | 0 | 0 | 0 | -1 | 0
Manu Ginobili, SG    | 26 | 1-5 | 0-3 | 3-4 | 0"
Ginobili,Waiting,Tre.Stuckey,2017-08-17,NA,"the cheat codes
Nobody can hold me, I ball like Ginobili
The spur of the moment, and I keep it"
Ginobili,Buzzer Beater,Dwayne Kyng,2017-02-03,NA,"spot
Out here ballin' like Kobe
Matter of fact, like Ginóbili
Step back, get 'em up off me
Shy poppin"
Ginobili,Super Bowl,Chevy Woods,,NA,"I be overseas with it, bitch, I think I’m Ginobili
And my shooter’s Lewinsky, 42 off that whiskey"
Ginobili,Bigg K vs. O-Red,Rare Breed Entertainment,2017-11-04,NA,"Ritz
Get a back of the head BOW!
I could Ginóbili your shit
Or just come across with the rounds"
Ginobili,2014 Finals Game 1 Sneaker Recap,NBA (Archives),2014-06-05,NA,"Tony Parker & Norris Cole:
Ray Allen:
Manu Ginobili:
Lebron James & Kawhi Leonard:
Danny Green & Dwayne Wade:
Tim Duncan:
Chris Bosh"
Ginobili,Mechanical Dummy,Young Check’a,2014-02-06,NA,"can't even control me, got 20 shots that's Ginobili
Yo' main thot she all on my hip and"
Ginobili,Doing My Thang,Frenchie,2012-10-17,NA,"shit like I'm Westbrook, but a shooter just like Ginobili
Boy that's head crack, and you owe me"
Ginobili,By My Lonely,YS & Ron-Ron The Producer,2020-04-22,NA,"Jackson, my lil' nigga Kobe
Huh, nigga, FN [?] twenty clip, Ginóbili
Huh, I told my lil' nigga, huh, kill him"
Ginobili,Spinach Ravioli,Shmeel,2016-06-14,NA,"eat cabbage, I eat spinach
With that ravioli like Manu Ginóbili
So I hit that shot now no one could"
Ginobili,SIN CITY,BENCHE,,NA,"know me
Got me feeling back in '03, ball like Ginobili
Even though Im grinding lowkey, Im always OD
Always"
Ginobili,Jello,Daddy Smoke,,NA,"Ask around, niggas know me
I'm a Europe boy, Ginóbili
I like my bitches redbone, ass fat, Jell-O"
Ginobili,Kobe Ginobili,Cooli Highh,2016-03-29,NA,Hook: Tell em I jus wanna ball like Ginobili promise I jus want like Kobe only focused on my team
Ginobili,Loaded (Remix),PookaDaDon,,NA,"lay you flat, I ballin' like Kobe
Left hand like Ginobili, he ain't 'bout that life, I heard he"
Ginobili,Hot 16's,JG (Privacy Records),2017-04-20,NA,"then show me, talking then show me, I'm balling- Ginobili
Fuck it we out, I'm switching lanes
Got"
Ginobili,Where’s My Crown,King Tev,2017-12-12,NA,"ballin like Kobe
Long nose on the gun that's Ginobili
Shooting like I'm open
Long range you get"
Ginobili,Use Me (I’m Dope),Bruiser Wolf,2021-03-29,NA,"sound the same, ain't no coincidence (heh)
And like Ginóbili her man knew, her friend too
Hoes give me"
Ginobili,Villains,N’veigh,2018-12-07,NA,"That's why niggas got noses that are longer than Ginóbili
They don't understand that I did it for"
Ginobili,Heart Ache,2Kz,2019-08-01,NA,"s hard to tell a friend from foe
Shooters like Ginóbili, this a pair across the globe
All my niggas"
Ginobili,2014-15 San Antonio Spurs Roster,NBA (Archives),,NA,"33 | Boris Diaw
F | #21 | Tim Duncan
G | #20 | Manu Ginobili
G-F | #4 | Danny Green
F | JaMychal Green
F"
